origin,dest,hour,dow,p80,p90,p95,obs_count
PAD,HXX,13,2,2.2,3.1,4.05,20
PAD,HXX,13,3,3.0,3.2,4.2,19
PAD,HXX,13,4,4.4,12.0,15.0,14
PAD,HXX,13,5,7.0,9.0,12.5,16
PAD,HXX,13,6,0.0,0.7,1.35,14
PAD,HXX,14,0,2.8,3.4,5.0,17
PAD,HXX,14,1,0.6,1.0,2.5,18
PAD,HXX,14,2,5.0,7.0,7.3,20
PAD,HXX,14,3,2.0,3.0,3.2,19
PAD,HXX,14,4,2.4,3.7,4.7,14
PAD,HXX,14,5,2.0,3.5,4.25,16
PAD,HXX,14,6,1.0,1.0,2.2,15
PAD,HXX,15,0,1.8,3.0,3.4,17
PAD,HXX,15,1,1.0,1.2,2.1,19
PAD,HXX,15,2,2.0,2.1,3.0,20
PAD,HXX,15,3,2.4,3.6,6.3,19
PAD,HXX,15,4,3.0,3.5,4.5,16
PAD,HXX,15,5,1.0,3.0,3.0,16
PAD,HXX,15,6,0.0,0.6,1.3,15
PAD,HXX,16,0,2.0,2.0,2.5,16
PAD,HXX,16,1,1.0,2.0,2.05,20
PAD,HXX,16,2,3.0,3.1,4.0,20
PAD,HXX,16,3,1.0,1.1,2.1,20
PAD,HXX,16,4,1.0,2.5,3.0,16
PAD,HXX,16,5,1.0,2.5,4.0,16
PAD,HXX,16,6,1.0,1.7,3.4,14
PAD,HXX,17,0,1.0,1.5,2.0,16
PAD,HXX,17,1,2.2,3.1,4.0,20
PAD,HXX,17,2,2.0,2.0,2.15,20
PAD,HXX,17,3,2.2,4.1,5.0,20
PAD,HXX,17,4,2.0,3.5,4.25,16
PAD,HXX,17,5,2.0,4.5,6.75,16
PAD,HXX,17,6,4.8,6.7,8.4,14
PAD,HXX,18,0,2.0,2.5,3.0,16
PAD,HXX,18,1,4.0,5.0,5.1,20
PAD,HXX,18,2,4.0,4.1,5.05,20
PAD,HXX,18,3,4.0,4.1,5.2,20
PAD,HXX,18,4,1.0,2.0,2.5,16
PAD,HXX,18,5,1.0,2.5,3.5,16
PAD,HXX,18,6,2.0,2.7,3.35,14
PAD,HXX,19,0,2.0,3.5,4.5,16
PAD,HXX,19,1,1.4,3.0,3.05,20
PAD,HXX,19,2,2.2,4.2,6.05,20
PAD,HXX,19,3,4.8,7.2,9.4,19
PAD,HXX,19,4,3.0,3.0,4.0,16
PAD,HXX,19,5,2.0,3.5,4.5,16
PAD,HXX,19,6,2.0,3.4,4.0,14
PAD,HXX,20,0,1.2,1.6,1.8,3
PAD,HXX,20,1,0.2,0.6,0.8,5
PAD,HXX,20,2,3.2,3.6,3.8,5
